# German-English translations created from the Universal dictionary at 2011-03-25T01:53:34-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 evening ; eve ; even ; eventide 	 time 
 Hotel ; Gasthaus ; Gasthof 	 hotel 	 city 
 Humor 	 humor ; humour ; sense of humor ; sense of humour 	 communication 
 Hund 	 dog ; domestic dog ; Canis familiaris 	 animal 
 Husten 	 cough ; coughing 	 medicine 
 Hut 	 hat ; chapeau ; lid 	 clothes 
 Hälfte 	 one-half ; half 	 mathematics 
 Höhe 	 altitude ; height 	 abstract 
 Höhle 	 hole 	 abstract 
 Hügel 	 hill 	 nature 
 Image 	 image 	 art 
 Indien 	 India ; Republic of India ; Bharat 	 country 
 Individuum 	 individual 	 society 
 Individuum ; Einzelperson ; Mensch ; Person 	 person ; individual ; someone ; somebody ; mortal ; soul 	 family 
 Individuum ; Einzelperson ; Mensch ; Person ; Erdenbürger ; Sterblicher ; Einzelwesen 	 homo ; man ; human being ; human 	 family 
 Industrie 	 industry ; manufacture 	 society 
 Information 	 information 	 communication 
 Information ; Auskunft 	 information ; info 	 communication 
 Insekt 	 insect 	 animal 
 Inserat ; Reklame ; Werbung ; Zeitungsanzeige 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 Institution ; Niederlassung 	 institution ; establishment 	 society 
 Instrukteur ; Lehrer ; Lehrkraft 	 teacher ; instructor 	 profession 
 Instrument 	 instrument 	 device 
 Interesse 	 interest ; involvement 	 communication 
 Internet 	 internet ; net ; cyberspace 	 mathematics 
 Interview 	 interview 	 communication 
 Italien 	 Italy ; Italian Republic ; Italia 	 country 
 Italienisch 	 Italian 	 language 
 Jacke ; Sakko 	 jacket 	 clothes 
 Jahr 	 year ; twelvemonth ; yr 	 time 
 Jahrhundert 	 century 	 time 
 Januar 	 January ; Jan 	 time 
 Japan 	 Japan ; Nippon ; Nihon 	 country 
 Japanisch 	 Japanese 	 language 
 Journalist 	 journalist 	 profession 
 Juli 	 July 	 time 
 Junge 	 male child ; boy 	 family 
 Juni 	 June 	 time 
 Kaffe ; Kaffee 	 coffee ; java 	 food 
 Kamera 	 television camera ; tv camera ; camera 	 object 
 Kampagne 	 campaign ; cause ; crusade ; drive ; movement ; effort 	 abstract 
 Kante ; Rand 	 edge ; border 	 mathematics 
 Kapelle 	 dance band ; band ; dance orchestra 	 art 
 Kapital 	 capital ; working capital 	 business 
 Karte 	 card 	 object 
 Karte 	 map 	 object 
 Kartoffel 	 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 food 
 Kasten ; Kiste ; Truhe 	 chest 	 object 
 Katze 	 cat ; true cat 	 animal 
 Kehle 	 throat ; pharynx 	 anatomy 
 Kenntnis 	 cognition ; knowledge ; noesis 	 education 
 Kette 	 chain 	 object 
 Keule ; Knüppel 	 club 	 object 
 Kind 	 child ; kid 	 nature 
 Kind 	 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 family 
 Kinn 	 chin ; mentum 	 anatomy 
 Kino 	 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 city 
 Kirche 	 church ; church building 	 city 
 Kiste 	 box 	 object 
 Klasse 	 class ; form ; grade ; course 	 art 
 Kleidung 	 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 clothes 
 Kleidung ; Garderobe ; Kleider ; Wäsche ; Klamotten ; Gewand ; Bekleidung 	 apparel ; wearing apparel ; dress ; clothes 	 clothes 
 Kleingeld ; Wechselgeld 	 change 	 business 
 Kluft ; Riss ; Spalte ; Sprung 	 crack ; cleft ; crevice ; fissure ; scissure 	 abstract 
 Knie 	 knee ; knee joint ; human knee ; articulatio genus ; genu 	 anatomy 
 Kniff ; List 	 trick 	 abstract 
 Knochen 	 bone ; os 	 anatomy 
 Knopf ; Taste 	 push button ; push ; button 	 object 
 Knoten 	 knot 	 object 
 Koch ; Köchin 	 cook 	 profession 
 Koffer ; Handkoffer 	 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 clothes 
 Kohle 	 coal 	 material 
 Kohlehydrat ; Zucker 	 carbohydrate ; saccharide ; sugar 	 food 
 Kollegium ; Rat 	 council 	 society 
 Konkurrenzkampf 	 competition 	 business 
 Konstruktion ; Struktur ; Aufbau 	 structure ; construction 	 house 
 Konto 	 account ; business relationship 	 business 
 Kontrolle 	 control 	 abstract 
 Konzert 	 concert 	 art 
 Kopf ; Haupt 	 head ; caput 	 anatomy 
 Kopie 	 copy 	 object 
 Korb 	 basket ; handbasket 	 object 
 Korn 	 grain 	 material 
 Kosten 	 cost 	 society 
 Kraft ; Gewalt ; Stärke 	 force ; forcefulness ; strength 	 abstract 
 Kraftanstrengung 	 effort ; elbow grease ; exertion ; travail ; sweat 	 abstract 
 Kragen 	 collar ; neckband 	 clothes 
 Krankenschwester 	 nurse 	 profession 
 Krankheit 	 disease 	 medicine 
 Krawatte ; Schlips 	 necktie ; tie 	 clothes 
 Kreatur ; Tier ; Vieh 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 Kreis 	 circle 	 mathematics 
 Krieg 	 war ; state of war 	 society 
 Kriminalität ; Verbrechen 	 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 society 
 Kriterium ; Maß ; Norm ; Standard 	 standard ; criterion ; measure ; touchstone 	 communication 
 Krümmung 	 curvature ; curve 	 mathematics 
 Kuchen 	 cake 	 food 
 Kuh 	 cow ; moo-cow 	 animal 
 Kultur 	 culture ; civilization ; civilisation 	 society 
 Kunde 	 customer ; client 	 business 
 Kunst ; Arte 	 art ; fine art 	 art 
 Kurve 	 bend ; curve 	 transport 
 Kurve 	 curve ; curved shape 	 art 
 Kuß 	 kiss ; buss ; osculation 	 relations 
 Kälte 	 coldness ; cold ; low temperature ; frigidity ; frigidness 	 nature 
 Käse 	 cheese 	 food 
 König 	 king ; male monarch ; Rex 	 society 
 Ladung 	 charge ; electric charge 	 nature 
 Lage 	 situation ; state of affairs 	 abstract 
 Land 	 country ; state ; land 	 society 
 Leben 	 life 	 nature 
 Leben 	 life 	 time 
 Leder 	 leather 	 material 
 Lehrgang ; Kurs 	 course ; course of study ; course of instruction ; class 	 education 
 Leim 	 glue ; gum ; mucilage 	 material 
 Leute 	 people 	 society 
 Lexikon ; Wörterbuch 	 dictionary ; lexicon 	 linguistics 
 Licht 	 light ; visible light ; visible radiation 	 nature 
 Liebe 	 love 	 relations 
 Liebling 	 beloved ; dear ; dearest ; honey ; love 	 relations 
 Linie ; Zeile 	 line 	 mathematics 
 Lippe 	 lip 	 anatomy 
 Liste 	 list ; listing 	 abstract 
 Luft 	 air 	 nature 
 Lunch ; Mittagessen 	 lunch ; luncheon ; tiffin ; dejeuner 	 food 
 Lächeln ; Grinsen 	 smile ; smiling ; grin ; grinning 	 abstract 
 Löffel 	 spoon 	 food 
 Löwe 	 lion ; king of beasts ; Panthera leo 	 animal 
 Lüge 	 lie ; prevarication 	 communication 
 Macht 	 might ; mightiness ; power 	 abstract 
 Magen 	 stomach ; tummy ; tum ; breadbasket 	 anatomy 
 Management 	 management 	 business 
 Mann 	 male ; male person 	 society 
 Mann 	 man ; adult male 	 family 
 Mannschaft 	 team ; squad 	 society 
 Mantel 	 coat 	 clothes 
 Marke ; Zeichen 	 marker ; marking ; mark 	 abstract 
 Markt 	 market ; marketplace ; market place 	 business 
 Maschine 	 machine 	 device 
 Masse 	 bulk ; mass ; volume 	 physics 
 Masse 	 mass 	 physics 
 Material ; materiell ; Stoff ; Zeug 	 material ; stuff 	 material 
 Materie ; Stoff 	 matter 	 material 
 Matrose ; Seemann 	 sailor ; crewman 	 profession 
 Mauer 	 wall 	 house 
 Maßnahme ; Vorkehrung ; Maßregel 	 measure ; step 	 abstract 
 Meer 	 sea 	 nature 
 Mehrheit 	 majority ; bulk 	 abstract 
 Meinung ; Ansicht ; Stellungnahme 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 Meisterschaft ; Titel 	 championship ; title 	 sports 
 Menge 	 amount 	 abstract 
 Menorrhö ; Menstruation 	 menstruation ; menses ; menstruum ; catamenia ; period ; flow 	 medicine 
 Menü ; Speisekarte 	 menu ; bill of fare ; card ; carte du jour ; carte 	 object 
 Messen ; Messung 	 measurement ; measuring ; measure ; mensuration 	 art 
 Messer 	 knife 	 food 
 Metall 	 metallic element ; metal 	 material 
 Methode 	 method 	 mathematics 
 Metro ; U-Bahn 	 metro ; tube ; underground ; subway system ; subway 	 transport 
 Metropole ; Stadt 	 city ; metropolis ; urban center 	 society 
 Milch 	 milk 	 food 
 Milchshake 	 milkshake ; milk shake ; shake 	 food 
 Milieu ; Umgebung ; Umwelt 	 environment 	 nature 
 Militär 	 military ; armed forces ; armed services ; military machine ; war machine 	 society 
 Million 	 million ; 1000000 ; one thousand thousand ; meg 	 number 
 Minister 	 minister ; government minister 	 profession 
 Minute 	 minute ; min 	 time 
 Mitglied 	 member ; fellow member 	 society 
 Mitte ; Mittelpunkt 	 center ; centre ; midpoint 	 mathematics 
 Mitte ; Mittelpunkt ; Zentrum 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 Mittel ; Mittelwert 	 mean ; mean value 	 mathematics 
 Mitternacht 	 midnight 	 time 
 Mittwoch 	 Wednesday ; Midweek ; Wed 	 time 
 Mobiltelefon 	 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 device 
 Mode 	 vogue ; trend ; style 	 abstract 
 Modell 	 model 	 object 
 Moment 	 moment ; mo ; minute ; second ; bit 	 time 
 Monat 	 calendar month ; month 	 time 
 Monat 	 month 	 transport 
 Mond 	 Moon ; moon 	 nature 
 Montag 	 Monday ; Mon 	 time 
 Morgen 	 tomorrow 	 time 
 Morgen ; Vormittag 	 morning ; morn ; morning time ; forenoon 	 time 
 Motor 	 engine 	 device 
 Mund 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 Museum 	 museum 	 city 
 Musik 	 music 	 art 
 Musikant ; Musiker 	 musician ; instrumentalist ; player 	 profession 
 Muskel 	 muscle ; musculus 	 anatomy 
 Muster ; Paradigma ; Prototyp 	 prototype ; paradigm ; epitome ; image 	 linguistics 
 Muster ; Vorbild ; Vorlage 	 blueprint ; design ; pattern 	 object 
 Mutter 	 mother ; female parent 	 family 
 Möbel 	 furniture ; piece of furniture ; article of furniture 	 house 
 Nachbar 	 neighbor ; neighbour 	 family 
 Nachmittag 	 afternoon 	 time 
 Nachrichten 	 news ; intelligence ; tidings ; word 	 society 
 Nacht ; Nachtzeit 	 night ; nighttime ; dark 	 nature 
 Nadel 	 needle 	 medicine 
 Nadel ; Stecknadel 	 pin 	 object 
 Nadelstich 	 stitch 	 medicine 
 Nagel 	 nail 	 anatomy 
 Nagel 	 nail 	 object 
 Name 	 name 	 linguistics 
 Nase 	 nose ; olfactory organ 	 anatomy 
 Nation 	 nation ; land ; country 	 society 
 Natur 	 nature 	 nature 
 Nein ; nein ; nicht 	 no 	 abstract 
 Nerv 	 nerve ; nervus 	 anatomy 
 Netz 	 net ; network ; mesh ; meshing ; meshwork 	 material 
 Nichts ; Null ; nichts 	 nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught ; zero ; zilch ; zip ; zippo 	 mathematics 
 Nord ; Norden 	 north ; due north ; northward ; N 	 logistics 
 Note 	 note ; musical note ; tone 	 art 
 Note ; Zensur 	 mark ; grade ; score 	 education 
 November 	 November ; Nov 	 time 
 Nummer ; Zahl ; nummer ; zahl 	 number 	 linguistics 
 Oberfläche 	 surface 	 mathematics 
 Oberherrschaft 	 dominion ; rule 	 society 
 Ohr 	 ear 	 anatomy 
 Oktober 	 October ; Oct 	 time 
 Operation 	 operation 	 abstract 
 Operation 	 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 medicine 
 Orange ; Apfelsine 	 orange 	 food 
 Orchester 	 orchestra 	 art 
 Orden 	 order ; monastic order 	 society 
 Original 	 master ; master copy ; original 	 object 
 Orthographie ; Rechtschreibung ; Schreibweise 	 spelling 	 linguistics 
 Osten 	 east ; due east ; eastward ; E 	 logistics 
 Paar 	 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 number 
 Papier 	 paper 	 material 
 Park 	 park ; commons ; common ; green 	 city 
 Party 	 party 	 society 
 Patient 	 patient 	 medicine 
 Pause 	 respite ; recess ; break ; time out 	 abstract 
 Pause ; Unterbrechung 	 pause ; intermission ; break ; interruption ; suspension 	 time 
 Peitsche 	 whip 	 object 
 Periode 	 time period ; period of time ; period 	 time 
 Pferd ; Ross 	 horse ; Equus caballus 	 animal 
 Pflicht ; Verpflichtung 	 duty 	 abstract 
 Phase ; Stufe 	 phase ; stage 	 time 
 Pilot 	 pilot ; airplane pilot 	 profession 
 Plan 	 plan ; program ; programme 	 abstract 
 Platz 	 seat ; place 	 abstract 
 Platz 	 topographic point ; place ; spot 	 abstract 
 Poem 	 poem ; verse form 	 art 
 Poesie 	 poetry ; poesy ; verse 	 art 
 Pokal 	 cup ; loving cup 	 object 
 Politik 	 policy 	 society 
 Politiker 	 politician ; politico ; pol ; political leader 	 profession 
 Polizei 	 police ; police force ; constabulary ; law 	 society 
 Polizist 	 policeman ; police officer ; officer 	 profession 
 Porto 	 postage ; postage stamp ; stamp 	 object 
 Post 	 mail ; mail service ; postal service ; post 	 communication 
 Praxis 	 practice 	 art 
 Preis 	 price 	 transport 
 Preis 	 price ; cost ; toll 	 business 
 Preis 	 price ; terms ; damage 	 transport 
 Prinzip 	 principle ; rule 	 linguistics 
 Problem 	 issue 	 communication 
 Problem 	 problem ; job 	 mathematics 
 Problem ; Schwierigkeit 	 trouble ; problem 	 abstract 
 Produkt ; Erzeugnis 	 product ; production 	 object 
 Produktion 	 production 	 abstract 
 Programm 	 program ; programme ; computer program ; computer programme 	 abstract 
 Projekt 	 project ; projection 	 abstract 
 Projekt ; Aufgabe 	 undertaking ; project ; task ; labor 	 abstract 
 Prozent ; Prozente 	 percentage ; percent ; per centum ; pct 	 mathematics 
 Präsident 	 president 	 profession 
 Pulver ; Staub 	 powder ; pulverization ; pulverisation 	 material 
 Pumpe 	 pump 	 device 
 Punkt 	 point ; dot 	 linguistics 
 Quadrat 	 square ; foursquare 	 mathematics 
 Quadrat 	 square ; second power 	 mathematics 
 Qualität 	 quality 	 abstract 
 Rad 	 wheel 	 object 
 Rahmen 	 frame 	 object 
 Rat 	 advice 	 communication 
 Reaktion 	 reaction 	 abstract 
 Rechner 	 calculator ; reckoner ; figurer ; estimator ; computer 	 device 
 Recht 	 right 	 society 
 Regal 	 shelf 	 house 
 Regel 	 rule ; regulation 	 linguistics 
 Regen 	 rain ; pelting 	 nature 
 Regen 	 rain ; rainfall 	 nature 
 Regierung ; Regime 	 government ; authorities ; regime 	 society 
 Reichweite 	 range ; reach 	 abstract 
 Reichweite ; Rahmen ; Bereich ; Geltungsbereich ; Umfang 	 scope ; range ; reach ; orbit ; compass ; ambit 	 abstract 
 Reihenfolge 	 order 	 linguistics 
 Reis 	 rice 	 food 
 Reis 	 rice 	 food 
 Reisepass 	 passport 	 object 
 Rekord 	 record 	 abstract 
 Religion 	 religion ; faith ; organized religion 	 society 
 Rest 	 rest ; ease ; repose ; relaxation 	 abstract 
 Rest ; Relikt ; Überrest ; Rückstand 	 remainder ; balance ; residual ; residue ; residuum ; rest 	 business 
 Restaurant 	 restaurant ; eating house ; eating place ; eatery 	 city 
 Rhythmus 	 rhythm ; beat ; musical rhythm 	 art 
 Richter 	 judge ; justice ; jurist 	 profession 
 Richtung 	 direction 	 mathematics 
 Ring 	 ring ; band 	 clothes 
 Rock 	 skirt 	 clothes 
 Rohre ; Rohrleitung 	 pipe ; pipage ; piping 	 object 
 Rolle 	 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 object 
 Ruck 	 jolt ; jar ; jounce ; shock 	 transport 
 Rumpf 	 torso ; trunk ; body 	 anatomy 
 Russisch 	 Russian 	 language 
 Rücken 	 back ; dorsum 	 anatomy 
 Rückkehr ; Wiederkehr 	 return ; homecoming 	 abstract 
 Rückseite 	 back 	 clothes 
 Saison 	 season 	 nature 
 Salat 	 salad 	 food 
 Salz 	 salt ; table salt ; common salt 	 food 
 Same ; Samen 	 seed 	 food 
 Samstag 	 Saturday ; Sabbatum ; Sat 	 time 
 Sand 	 sand 	 material 
 Sandwich 	 sandwich 	 food 
 Satz 	 sentence 	 linguistics 
 Satz 	 set 	 mathematics 
 Satz ; Set 	 set 	 sports 
 Satz ; Tarif 	 rate ; charge per unit 	 business 
 Sauce ; Soße 	 sauce 	 food 
 Schaf 	 sheep 	 animal 
 Schalenfrucht 	 nut 	 food 
 Schauspielerin 	 actress 	 profession 
 Schauspielhaus ; Theater 	 theater ; theatre ; house 	 city 
 Scheck 	 check ; bank check ; cheque 	 business 
 Schein 	 ticket 	 object 
 Schere 	 scissors ; pair of scissors 	 object 
 Schiff 	 ship 	 transport 
 Schlaf ; Schlummer 	 sleep ; slumber 	 nature 
 Schlafzimmer 	 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 house 
 Schlag 	 blow 	 abstract 
 Schlag ; Hieb 	 hit ; hitting ; striking 	 abstract 
 Schlager 	 hit ; smash ; smasher ; strike ; bang 	 art 
 Schlange 	 snake ; serpent ; ophidian 	 animal 
 Schleudern 	 skid ; slip ; sideslip 	 abstract 
 Schloss ; Schloß 	 lock 	 house 
 Schlüssel 	 key 	 house 
 Schmerz 	 pain ; hurting 	 medicine 
 Schnabel 	 beak ; bill ; neb ; nib ; pecker 	 anatomy 
 Schnee 	 snow 	 nature 
 Schnee 	 snow ; snowfall 	 nature 
 Schnellzug 	 express ; limited 	 transport 
 Schnitt 	 cut ; cutting 	 abstract 
 Schock 	 daze ; shock ; stupor 	 abstract 
 Schokolade 	 chocolate 	 food 
 Schrank 	 cupboard ; closet 	 house 
 Schraubenmutter 	 nut 	 object 
 Schreibtisch 	 desk 	 house 
 Schrift 	 writing 	 linguistics 
 Schriftsteller 	 writer ; author 	 profession 
 Schriftzeichen 	 letter ; letter of the alphabet ; alphabetic character 	 linguistics 
 Schriftzeichen ; Zeichen 	 character ; grapheme ; graphic symbol 	 linguistics 
 Schritt 	 footstep ; pace ; step ; stride 	 mathematics 
 Schublade 	 drawer 	 house 
 Schuh 	 shoe 	 clothes 
 Schule 	 school ; schoolhouse 	 city 
 Schwanz 	 tail 	 anatomy 
 Schwein 	 hog ; pig ; grunter ; squealer ; Sus scrofa 	 animal 
 Schwester 	 sister ; sis 	 family 
 Schwierigkeit 	 difficulty 	 abstract 
 Schüler ; Student 	 student ; pupil ; educatee 	 profession 
 See 	 lake 	 nature 
 Segel 	 sail ; canvas ; canvass ; sheet 	 object 
 Segmentierung ; Teilung 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 Seide 	 silk 	 material 
 Seife 	 soap 	 material 
 Seil ; Tau ; Strang 	 rope 	 transport 
 Seite 	 page 	 object 
 Seite 	 side 	 mathematics 
 Sekretär 	 secretary ; secretarial assistant 	 profession 
 Sekunde 	 second ; sec ; s 	 time 
 Serie 	 serial ; series 	 abstract 
 Sex 	 sexual activity ; sexual practice ; sex ; sex activity 	 relations 
 Show 	 show 	 abstract 
 Silber 	 silver ; Ag ; atomic number 47 	 material 
 Sitz 	 seat 	 house 
 Socke 	 sock 	 clothes 
 Sohn 	 son ; boy 	 family 
 Soldat 	 soldier 	 profession 
 Sommer ; Sommerzeit 	 summer ; summertime 	 nature 
 Song 	 song ; vocal 	 art 
 Sonne 	 sun ; Sun 	 nature 
 Sonntag 	 Sunday ; Lord's Day ; Dominicus ; Sun 	 time 
 Sorge ; Pflege ; Behandlung ; Sorgfalt 	 care ; attention ; aid ; tending 	 abstract 
 Spanien 	 Spain ; Kingdom of Spain ; Espana 	 country 
 Spanisch 	 Spanish 	 language 
 Spiegel 	 mirror 	 house 
 Spiel 	 game 	 mathematics 
 Spiel 	 game 	 sports 
 Spiel 	 match 	 sports 
 Spieler 	 player ; participant 	 sports 
 Sprache 	 language ; linguistic communication 	 communication 
 Sprache ; Rede 	 speech ; speech communication ; spoken communication ; spoken language ; language ; voice communication ; oral communication 	 linguistics 
 Sprung 	 leap ; jump ; saltation 	 abstract 
 Spültisch 	 sink 	 house 
 Staat 	 state 	 society 
 Staat 	 state ; province 	 society 
 Stadt 	 town 	 society 
 Stahl 	 steel 	 material 
 Standpunkt ; Stellung 	 attitude ; mental attitude 	 abstract 
 Station 	 station 	 society 
 Staub 	 dust 	 material 
 Stelle ; Position ; Stellung 	 position ; place 	 linguistics 
 Stellvertreter 	 representative 	 profession 
 Stempel 	 stamp 	 object 
 Stern 	 star 	 nature 
 Stiefel 	 boot 	 clothes 
 Stift 	 pivot ; pin 	 object 
 Stil 	 style 	 art 
 Stille 	 silence ; quiet 	 abstract 
 Stimme 	 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 communication 
 Stirn 	 brow ; forehead 	 anatomy 
 Stock 	 stick 	 object 
 Stoff 	 fabric ; cloth ; material ; textile 	 material 
 Strand 	 beach 	 nature 
 Straße 	 street 	 city 
 Straße ; Strecke ; Weg 	 road ; route 	 transport 
 Strecke 	 stretch 	 art 
 Streit ; Kontroverse ; Anfechtung ; Auseinandersetzung 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 Strom 	 current ; electric current 	 nature 
 Strom 	 stream ; flow ; current 	 nature 
 Struktur 	 structure 	 linguistics 
 Strömung 	 current ; stream 	 nature 
 Stufe ; Treppe ; Treppenstufe 	 step ; stair 	 house 
 Stuhl 	 chair 	 house 
 Stunde 	 hour ; hr ; 60 minutes 	 time 
 Stängel 	 stalk ; stem 	 nature 
 Stück 	 slice ; piece 	 abstract 
 Stück ; Teil 	 piece 	 object 
 Stückchen 	 bit ; chip ; flake ; fleck ; scrap 	 object 
 Subjekt ; Thema 	 subject ; topic ; theme 	 linguistics 
 Summe 	 sum ; amount ; total 	 mathematics 
 Supermarkt 	 supermarket 	 city 
 Suppe 	 soup 	 food 
 Sänger 	 singer ; vocalist ; vocalizer ; vocaliser 	 profession 
 Säure 	 acid 	 material 
 Süd ; Süden 	 south ; due south ; southward ; S 	 logistics 
 Süßigkeit 	 sweet ; sweetness ; sugariness 	 food 
 Tabelle 	 table ; tabular array 	 object 
 Tasse 	 cup 	 food 
 Taste 	 key 	 object 
 Tat 	 act ; deed ; human action ; human activity 	 abstract 
 Tatsache 	 fact 	 abstract 
 Technologie 	 engineering ; engineering science ; applied science ; technology 	 abstract 
 Technologie 	 technology ; engineering 	 society 
 Tee 	 tea 	 food 
 Teil 	 share ; portion ; part ; percentage 	 society 
 Teller 	 plate 	 food 
 Tendenz ; Trend 	 tendency ; trend 	 abstract 
 Tennis 	 tennis ; lawn tennis 	 sports 
 Teppich ; Vorleger 	 rug ; carpet ; carpeting 	 house 
 Testament 	 will ; testament 	 society 
 Theorie 	 theory 	 education 
 Tiefdruckgebiet ; Zyklone 	 low ; depression 	 nature 
 Tinte 	 ink 	 material 
 Tisch 	 table 	 house 
 Titel 	 title 	 society 
 Tochter 	 daughter ; girl 	 family 
 Tod 	 death 	 nature 
 Tod ; tod 	 death ; decease ; expiry 	 abstract 
 Toilette 	 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 house 
 Tomate 	 tomato 	 food 
 Tomate 	 tomato ; love apple ; tomato plant ; Lycopersicon esculentum 	 food 
 Ton 	 audio ; sound 	 abstract 
 Ton 	 sound 	 nature 
 Tor 	 goal 	 sports 
 Tor ; Pforte 	 gate 	 house 
 Tote 	 dead 	 society 
 Transport 	 transportation ; shipping ; transport 	 transport 
 Treffen 	 meeting ; coming together 	 communication 
 Tresor 	 safe 	 object 
 Tritt 	 kick ; boot ; kicking 	 abstract 
 Tropfen 	 drop ; drib ; driblet 	 object 
 Tschechische Republik 	 Czech Republic 	 country 
 Tür 	 door 	 house 
 Ufer 	 bank 	 nature 
 Uhr 	 clock 	 device 
 Uhr 	 watch ; ticker 	 object 
 Umgebung 	 environment ; environs ; surroundings ; surround 	 nature 
 Unfall ; Unglück 	 accident 	 transport 
 Ungewissheit ; Zweifel 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 Universität 	 university 	 city 
 Universität 	 university 	 city 
 Unterhaltung ; Belustigung ; Vergnügung 	 entertainment ; amusement 	 art 
 Unterschied 	 difference 	 abstract 
 Urlaub 	 leave ; leave of absence 	 society 
 Urlaub ; Ferien 	 vacation ; holiday 	 travelling 
 Vater 	 father ; male parent ; begetter 	 family 
 Verabredung 	 date ; appointment ; engagement 	 relations 
 Verantwortung 	 responsibility ; responsibleness 	 abstract 
 Verbindung 	 connection ; connexion ; connectedness 	 abstract 
 Verein ; Bund ; Einigkeit ; Gewerkschaft ; Union ; Verbindung ; Vereinigung 	 union 	 society 
 Vereinigte Staaten 	 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 country 
 Verfahren 	 process ; physical process 	 nature 
 Verfahren ; Prozess ; Prozedur 	 procedure ; process 	 mathematics 
 Vergangenheit 	 past ; past times ; yesteryear 	 time 
 Vergleich 	 comparison ; comparing 	 abstract 
 Vergnügen 	 pleasure ; pleasance 	 abstract 
 Verhältnis 	 relation 	 communication 
 Verkauf ; Vertrieb 	 sale 	 business 
 Verlust 	 loss 	 business 
 Vernichtung 	 destruction ; devastation 	 abstract 
 Versicherung 	 insurance 	 business 
 Verteidigung ; Abwehr 	 defense ; defence ; defense force ; defence force 	 abstract 
 Vertrag ; Kontrakt 	 contract 	 business 
 Verwandtschaft ; Beziehung ; Relation ; Verhältnis 	 relationship ; human relationship 	 society 
 Verzierung 	 decoration ; ornament ; ornamentation 	 object 
 Visite 	 visit 	 abstract 
 Vogel 	 bird 	 animal 
 Volk ; Leute 	 populace ; public ; world 	 society 
 Vorfall ; Vorkommnis 	 event ; case 	 abstract 
 Vorherrschaft ; Oberherrschaft ; Dominanz 	 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 abstract 
 Vorschlag 	 proposal 	 abstract 
 Vorschlag 	 suggestion ; proposition ; proffer 	 abstract 
 Vorteil 	 advantage ; vantage 	 abstract 
 Wache 	 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 profession 
 Wachstum 	 increase ; increment ; growth 	 abstract 
 Wahl 	 choice ; selection ; option ; pick 	 abstract 
 Wahl 	 election 	 mathematics 
 Wasser 	 water ; H2O 	 material 
